genre,year_album_release,valence_mean
Reggae,2019,0.6678288288288289
Reggae,1996,0.6905
Reggae,1991,0.73475
Reggae,2002,0.7531186440677966
Reggae,1980,0.7769375
Reggae,1978,0.6944285714285714
Reggae,1983,0.7117142857142857
Reggae,1973,0.8105454545454546
Reggae,1977,0.8250526315789474
Reggae,1999,0.6836315789473685
Reggae,1997,0.7127058823529412
Reggae,1976,0.7238571428571429
Reggae,1979,0.824
Reggae,1982,0.7838095238095238
Reggae,1984,0.7867272727272727
Reggae,2000,0.7855
Reggae,1981,0.8051666666666667
Reggae,1994,0.7595
Reggae,1995,0.6920000000000001
Reggae,1975,0.73475
Reggae,1993,0.7601666666666667
Reggae,2020,0.6570574712643679
Reggae,2021,0.6792111111111111
Reggae,1987,0.8086666666666666
Reggae,2022,0.6824820143884892
Reggae,2024,0.6699715328467153
Reggae,1989,0.8518
Reggae,1988,0.821
Reggae,1998,0.677
Reggae,1967,0.832
Reggae,1992,0.6326666666666667
Reggae,1972,0.9485
Reggae,1970,0.887
Reggae,1990,0.7355
Reggae,1986,0.7595
Reggae,1971,0.625
Reggae,1974,0.6205
Rock,2024,0.49699277108433737
Rock,1987,0.44655172413793104
Rock,2023,0.47474896907216496
Rock,2001,0.5157710843373494
Rock,2016,0.600701754385965
Rock,1993,0.4594081632653061
Rock,1994,0.4803963636363636
Rock,2004,0.46876206896551725
Rock,2014,0.5764775510204082
Rock,2012,0.6093382352941177
Rock,2006,0.4970881818181818
Rock,1997,0.53056
Rock,1992,0.5056145161290323
Rock,2000,0.5201521739130435
Rock,2002,0.5332637362637362
Rock,2009,0.5239892307692308
Rock,2015,0.541625
Rock,2011,0.6365962962962963
Rock,2003,0.5129326530612245
Rock,2020,0.434904
Rock,2021,0.4958238095238095
Rock,2022,0.4877575757575758
Rock,1999,0.5782985074626865
Rock,1996,0.561425
Rock,2019,0.48091428571428574
Rock,2017,0.5017234042553191
Rock,2013,0.5773285714285714
Rock,2005,0.519739175257732
Rock,2008,0.5548
Rock,2007,0.5471
Rock,2010,0.5347595744680851
Rock,1990,0.397675
Rock,1991,0.4229088607594937
Rock,1989,0.4095111111111111
Rock,1998,0.6050208333333333
Rock,1995,0.461275
Rock,1986,0.5541200000000001
Rock,1981,0.6262222222222222
Rock,1983,0.5694375
Rock,1984,0.5845588235294118
Rock,1973,0.44284615384615383
Rock,1977,0.5736666666666667
Rock,1970,0.5800909090909091
Rock,1988,0.4738076923076923
Rock,2018,0.41425806451612907
Rock,1980,0.6042727272727273
Rock,1979,0.6873
Rock,1969,0.6752222222222223
Rock,1976,0.5485833333333333
Rock,1974,0.5996
Rock,1972,0.556
Rock,1971,0.5648333333333333
Rock,1985,0.5444714285714286
Rock,1966,0.5792499999999999
Rock,1975,0.5668181818181818
Rock,1965,0.931
Rock,1982,0.6084
Rock,1978,0.7022727272727273
Rock,1968,0.6316666666666667
Rock,1960,0.7373333333333333
Rock,1961,0.598
Rock,1967,0.764
