track_id,track_name,playlist_id,genre,date_album_release,timestamp_addition
5tJIotzBga9qM6HIZ3Firt,Stereo Love (Radio Edit),0uNeN7uvvn6RTuyTA89SYN,Electronic,2009,2022-11-05T19:48:16Z
0CPY4tocoQh6uQrW2Y5PmV,We No Speak Americano,0uNeN7uvvn6RTuyTA89SYN,Electronic,2010-02-27,2022-11-05T19:49:46Z
0V7QchMrfTCk3gf0iAtl2R,Gettin' Over You (feat. Fergie & LMFAO),0uNeN7uvvn6RTuyTA89SYN,Electronic,2010-11-22,2022-11-05T19:54:00Z
7mitXLIMCflkhZiD34uEQI,Party Rock Anthem,0uNeN7uvvn6RTuyTA89SYN,Electronic,2011-01-01,2022-11-05T20:05:13Z
62feRreeM9ea7i2VHVSKrg,Freaks,0uNeN7uvvn6RTuyTA89SYN,Electronic,2014-08-01,2022-09-29T11:29:53Z
165M1vmXf2T1ZR02mMmPiT,Turbulence - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2011-02-28,2022-09-15T12:27:49Z
0gxGuvGAGfc41ujvTtXE2H,Animals,0uNeN7uvvn6RTuyTA89SYN,Electronic,2013-06-17,2022-09-15T12:36:29Z
5PX4uS1LqlWEPL69phPVQQ,Pursuit Of Happiness - Extended Steve Aoki Remix,0uNeN7uvvn6RTuyTA89SYN,Electronic,2012-01-01,2022-10-07T14:56:31Z
36xsgGPL8pgiAO9gzMZwpl,The Killer's Song - The Killer's Song Club Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2007-04-18,2022-11-05T19:45:57Z
0pMUR7Uvp6vxlbG0qBFvgM,Better Off Alone,0uNeN7uvvn6RTuyTA89SYN,Electronic,2000,2021-11-05T20:39:31Z
3b5n82ZpDbHF5QgMmcr5XJ,"Short, Short Man",0uNeN7uvvn6RTuyTA89SYN,Electronic,1994-01-01,2022-03-16T18:06:12Z
1d2O0FAl7OrNNu7Ed3bGrK,What Is Love - Reloaded - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2003-08-18,2021-11-05T20:47:00Z
0ofMkI3jzmGCElAOgOLeo3,The Rhythm of the Night,0uNeN7uvvn6RTuyTA89SYN,Electronic,1994,2022-05-17T01:36:52Z
2yAVzRiEQooPEJ9SYx11L3,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,0uNeN7uvvn6RTuyTA89SYN,Electronic,1999,2021-11-05T20:44:20Z
52LJ3hyknOijCrE5gCD0rE,L'Amour Toujours,0uNeN7uvvn6RTuyTA89SYN,Electronic,2001-05-23,2021-11-05T20:52:52Z
3QeCBmyPPL7OFEjFjdNUOt,The Hypno,0uNeN7uvvn6RTuyTA89SYN,Electronic,2000-01-01,2022-05-17T01:39:48Z
60tsXfCcG6Ljxsr8whOXL5,The Sound Of San Francisco - Progressive Album Mix,0uNeN7uvvn6RTuyTA89SYN,Electronic,2005-06-27,2022-11-05T19:44:51Z
6Lg1GvSIe1Tr1EHsM76aEj,Meet Her At The Loveparade - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2001-08-20,2022-11-05T19:55:24Z
4gYAiuUUc2RZiw7EJIrY4b,No Matter What You Do,0uNeN7uvvn6RTuyTA89SYN,Electronic,2003,2022-11-05T19:50:39Z
0DiWol3AO6WpXZgp0goxAV,One More Time,0uNeN7uvvn6RTuyTA89SYN,Electronic,2001-03-12,2022-10-21T18:22:05Z
4Lt2joCvb5Y1hI3ze2Gz0d,Get Ready - Orchestral Mix,0uNeN7uvvn6RTuyTA89SYN,Electronic,1992-02-24,2021-11-05T20:52:34Z
